,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,ASIN,Product Title,Material Code,Sellable On Hand Units,Weeks On Hand,Sell-out last week,12 weeks sell-out,Forecast next week,26 weeks forecast,"PAN Havells WH stock in Hands 
(Total)","PAN Havells WH stock in Hands 
(Trade)","PAN Havells WH stock in Hands 
(Non trade)",Plant / CWH,"Delhi - Havells WH stock in Hands 
(Total)","Mumbai - Havells WH stock in Hands 
(Total)","Bangalore - Havells WH stock in Hands 
(Total)","Hyd- Havells WH stock in Hands 
(Total)","Chennai - Havells WH stock in Hands 
(Total)","Calcutta - Havells WH stock in Hands 
(Total)",Open Purchase Order Quantity,Pending PO Qty,Production Plan,Production MTD,Rep OOS,Replenishment Action,Unsellable On Hand Units,Aged 90+ Days Sellable Units,Unhealthy Units,Replenishment Category
Source,AMZ - Inv report,AMZ - Inv report,Havells SAP,AMZ - Inv report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,OUTPUT,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report
,B076K942S2,Havells Rigo 500 Watt Juicer Mixer Grinder with 3 Jar (White & Light Blue),GHFJMBAB050,183,47,7,,3.587,,1558,,,,,,,,,,0,,,,14.50%,Trigger stock movement to CT WH,2,87,63,
,B01FORF1YI,Havells Enticer 48' (Pearl White Gold),FHCENSTPWG48,182,30,11,,8.362,,7695,,,,,,,,,,0,,,,9.55%,Trigger stock movement to CT WH,9,0,0,
,B00PFG3NIA,Havells V3 Yurbo 450mm Pedestal Fan (Black),FHSV3TFSLB18,182,11,19,,17.581,,5295,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,29,0,
,B01MZHZKBK,"Havells Freddo I Desert Air Cooler -70 Litres (White, Brown)",GHRACAMK220,180,12,1,,1.243,,1705,,,,,,,,,,7,,,,0.00%,Trigger stock movement to CT WH,22,13,0,
,B00RTBBXAE,Havells Genie 500-Watt Juicer Mixer Grinder (Green),GHFMGAZG050,177,20,0,,9.6,,3903,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B00KIDSU8S,Havells FHVVEDXOWH08 Ventil Air Dx 200mm Sweep size Fan (Off White),FHVVEDXOWH08,174,1,173,,196.871,,13771,,,,,,,,,,1937,,,,0.00%,Trigger stock movement to CT WH,29,0,0,
,B078VC1NXS,"Havells Celia Desert Air Cooler - 55 Litres (White, Grey)",GHRACAWE220,172,7,0,,5.884,,4262,,,,,,,,,,86,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B00JRU5I1A,Havells D'zire High Speed 300mm Wall Fan (Grey),FHWSWHSLGR12,170,10,4,,20.409,,3298,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,11,27,0,
,B073S5BXBX,Havells Artemis 1200mm Fan (Ivory),FHCRMSTIVR48,166,6,2,,2.043,,337,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,0,0,
,B08DL566XG,Reo (a Havells Brand) Tejas 1200 mm Ceiling Fan - White,FRCTJSTWHT48,162,19,25,,9.478,,4937,,,,,,,,,,1,,,,0.00%,Trigger stock movement to CT WH,0,0,102,
,B00NLBJKXS,Havells Lifeline Cable WHFFDNGA11X0 1 sq mm Wire (Green),WHFFDNGA11X0,156,24,4,,8.717,,15030,,,,,,,,,,0,,,,51.16%,Trigger stock movement to CT WH,0,144,0,
,B00B4BC6YM,Havells Swing LX 400mm Table Fan (White),FHTSWLXWHT16,155,32,34,,7.186,,2449,,,,,,,,,,257,,,,0.08%,Trigger stock movement to CT WH,1,64,210,
,B072K1V1DY,Havells Estelo Tea Maker 1.5L (Grey),GHBCMAPE200,147,107,4,,2,,68,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,5,144,115,
,B00K0C4IFQ,"Havells Crabtree Athena 1M Fan Regulator, White",ACARFXW004,146,20,9,,11.788,,8005,,,,,,,,,,0,,,,31.77%,Trigger stock movement to CT WH,0,131,45,
,B07CRH6CDN,(Renewed) Havells FHVVEDXOWH08 200mm Exhaust Fan (White),#N/A,143,14,20,,13.716,,0,,,,,,,,,,101,,,,0.00%,Trigger stock movement to CT WH,1,0,0,
,B071GVJ6XG,"Havells Enticer Art 1200mm Ceiling Fan (Pearl White, Pack of 2)",FHCEASTPWH48,143,105,1,,0.344,,3882,,,,,,,,,,0,,,,41.51%,Trigger stock movement to CT WH,1,141,0,
,B00B4BBX6O,Havells SS-390 1200mm 68-Watt Metallic Ceiling Fan (Pearl Ivory),FHCSSMTPIV48,140,20,5,,2.706,,5246,,,,,,,,,,0,,,,2.67%,Trigger stock movement to CT WH,3,43,0,
,B01K7OIAS2,Havells Max Cook DLX 1000-Watt Rice Cooker (Light Green),GHCRCBWG100,139,54,1,,3.889,,148,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,132,106,
,B00PFD186M,Havells Nicola 1200mm Decorative Ceiling Fan (Pearl White Silver),FHCNISTPWS48,136,16,11,,10.834,,960,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,7,11,0,
,B00B4BBK80,Havells Pacer 1200mm Ceiling Fan (White),FHCPASTWHT48E,136,4,41,,37.398,,242,,,,,,,,,,338,,,,0.00%,Trigger stock movement to CT WH,5,0,0,
,B00J5DY7RU,Havells Swing Lx 400mm Table Fan (Cherry),FHTSWLXCHR16,134,13,11,,12.263,,3142,,,,,,,,,,151,,,,0.00%,Trigger stock movement to CT WH,2,104,53,
,B00B4BBEEA,Havells Nicola 900mm 68-Watt Ceiling Fan (Bronze and Copper),FHCNISTBCU36,126,14,2,,6.364,,377,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,16,23,0,
,B00B4BC2ZU,Havells Yorker 1320mm Ceiling Fan (Antique Brass),FHCYOSTABR52,124,21,2,,8.783,,491,,,,,,,,,,257,,,,0.36%,Trigger stock movement to CT WH,7,0,0,
,B07ML45D4J,Havells GHCRCCGW070 1.8 Litre Electric Cooker (White),GHCRCCGW070,122,140,6,,1.181,,29,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,120,119,
,B00MB24T9S,Havells 15-Litre Storage Water Heater (Ivory and Red),GHWEQTTIB015,122,22,5,,7.26,,1,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,0,0,
,B00PFG3308,Havells Spartz 1200mm Decorative Ceiling Fan (Multicolour),FHCSZSTGMB48,120,8,20,,17.481,,511,,,,,,,,,,5,,,,0.55%,Trigger stock movement to CT WH,5,0,0,
,B00BYRK1R0,Havells Donato Espresso 900-Watt Stainless Steel Coffee Maker (Black),GHBCMAKS080,116,93,3,,2.033,,4,,,,,,,,,,0,,,,7.71%,Trigger stock movement to CT WH,1,114,104,
,B00JEAVS5I,Havells Velocity Neo HS 400mm Table Fan (White),FHTVEHSWHT16,111,18,5,,9.087,,2726,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,78,36,
